"Review","DS","Bank Name","data_source","Bank ID","state","Pilar","Predicted_Pilar","SASB","Predicted_SASB","dimension_SASB","dimension_SASB.1","dimension_SSINDEX","Sentiment_score","response_text","relevance","Sentiment_gen","spam","Industry"
"I love being a flight line mechanic on aircraft like the 787. I see so many cool things every day it never gets old. Best career I ever could have chosen!",28-08-2023 8:00,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","LABOR PRACTICES","LABOR PRACTICES","VALUES",95,"PuntuaciÃ³n=95","si","POSITIVE","no","Aviation & Aerospace."
"Simply aviation THANK YOU for finally making another Icelandair trip report!!! As a huge Icelandair fan, I'm glad to see you guys putting out quality content of Iceland's flag carrier! ðŸ‡®ðŸ‡¸â™¥ï¸",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","QUALITY",95,"PuntuaciÃ³n=95","si","POSITIVE","no","Aviation & Aerospace."
"As an Icelander, I can really agree with how everything at KeflavÃ­k airport is so expensive, even the damn water costs like 400 ISK - 2.86 Euros... Tap water in Iceland is one of the world's best so what's the point of that -",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","GHG EMISSIONS","GHG EMISSIONS","ENVIRONMENTAL ACTIONS",45,"PuntuaciÃ³n=45","si","NEUTRAL","no","Aviation & Aerospace."
"For several years a group of us flew to Anchorage in July. Eventually we found Icelandair. Back then the facilities at Keflavik were sparse but all the present facilities were under construction. 

We found the airline far better than the ones we used before. More seat space and the fact we could board at LHR and no customs to worry about until our final destination at Anchorage. The return flight was a redeye flight over the ice cap with the same customs arrangement in force.
Unfortunately they no longer fly direct to Anchorage. It was only available in summer. But it was great to leave London at 13.20 and be in our hotel in Alaska by 4.30pm.
Contrast this year when it took 150 minutes to clear customs at Denver and 90 minutes to clear security to our gate. 4 hours total.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","COMPETITIVE BEHAVIOUR","COMPETITIVE BEHAVIOUR","ETHICAL PROTOCOLS",70,"PuntuaciÃ³n=70","si","POSITIVE","no","Aviation & Aerospace."
"Doesn't shock me that Iceland Air gives you no meal on any of their flights! Happiest people on Earth? Been there multiple times and in general I would not call them happy nor friendly!",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","GHG EMISSIONS","GHG EMISSIONS","ENVIRONMENTAL ACTIONS",25,"PuntuaciÃ³n=25","si","NEGATIVE","no","Aviation & Aerospace."
"I personally love the new Icelandair livery, that shade of purple complements the white fuselage so well. Different coloured piping for the back of the tail representing different facets of Iceland is a nice touch too. I think the controversial nature of the rise of long narrowbody flights, is probably down to people associating them with LCCs with tight legroom and a mediocre offering overall. Consequently, they associate widebodies with business class suites and some of the worldâ€™s best airlines. Iâ€™ve never flown longer than 2 hours on a single aisle aircraft, so I canâ€™t say if the resistance/backlash has merit, but to fly 7h, this Icelandair MAX or JetBlueâ€™s/Air Astanaâ€™s A321LR, over Cebu Pacificâ€™s A330neo any day.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"From my local airport Manchester, UK Aer Lingus fly to New York in A321LRs. Also Kuwait Airways fly in A320 NEOs which is a 6h50m flight. I don't particularly understand people who say they don't like the idea of a long-haul flight in a single aisle plane. I've done several long-haul flights and you only ever use the aisle you are next to. The aisle on the other side is pretty irrelevant to you. So what difference does it actually make if there's only one aisle?",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",70,"PuntuaciÃ³n=70","si","POSITIVE","no","Aviation & Aerospace."
"Both planes were very modern. I love the IFE. The price you paid for the meal was a bit high, but the quality of the food was very goodðŸ‘ðŸ‘ðŸ‘",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","QUALITY",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"I flew Icelandair in Mayâ€¦Seattle to Keflavik round trip. No complaints at all. I hadnâ€™t flown in about 20 years and was a little apprehensive but other than the flight departing 4 hours late from Seattle, there were no hitches. It actually worked out really well in that landing in Keflavik at 10:30am instead of 6:30am allowed me to go straight to my hotel in Reykjavik and check in. I plan on visiting Iceland again and flying Icelandair.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","QUALITY",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"A seat with more space and good service is more important than the size of the plane.
I wonder if there is less space for carry-on luggage in a 737, though.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",70,"PuntuaciÃ³n=70","si","POSITIVE","no","Aviation & Aerospace."
