Review,traduccion_nueva,ds,Bank Name,data_source,state,Sentiment_score,Predicted_SASB,Predicted_Pilar,dimension_SSINDEX,dimension_SASB,relevance,relevance_2,Pilar,SASB,Sentiment_gen,year,month,month_num,city
"I would like to express my sincere gratitude to John Dollerry for his invaluable assistance in helping me and my family with trading. I am delighted to inform you that I successfully withdrew my funds (cash out) yesterday. I must say, John is by far the best trader I have ever come across.
After numerous experiences of being defrauded of my hard-earned money, I was skeptical about investing again. However, John's reliability, expertise, and professionalism completely changed my perspective. I invested $1000 and earned an impressive $8,800, which was much easier than I had anticipated.
I wholeheartedly recommend John Dollerry as a genuine and trustworthy trader to anyone interested in investing and trading. You can reach him via email at dollerryjohn062@gmail.com or through Telegram at t.me/johndollerry.
Thank you once again to John Dollerry for his exceptional support.","I would like to express my sincere gratitude to John Dollerry for his invaluable assistance in helping me and my family with trading. I am delighted to inform you that I successfully withdrew my funds (cash out) yesterday. I must say, John is by far the best trader I have ever come across. After numerous experiences of being defrauded of my hard-earned money, I was skeptical about investing again. However, John&#39;s reliability, expertise, and professionalism completely changed my perspective. I invested $1000 and earned an impressive $8,800, which was much easier than I had anticipated. I wholeheartedly recommend John Dollerry as a genuine and trustworthy trader to anyone interested in investing and trading. You can reach him via email at dollerryjohn062@gmail.com or through Telegram at t.me/johndollerry. Thank you once again to John Dollerry for his exceptional support.",2024-05-30,Banca Mifel,maps,Querétaro,90,Human Capital,Environmental,ENVIRONMENTAL CULTURE,LABOR PRACTICES,no,no,Environmental,Human Capital,POSITIVE,2024.0,May,5.0,Querétaro
"Tengo más de 6 meses tratando de abrir la cuenta y no hay un seguimiento oportuno, me vuelven a pedir la información varias veces. No Importa si tienes una buena tasa de inversión si por otro lado tienen un pésimo seguimiento al cliente. Decepcionada","I have been trying to open the account for more than 6 months and there is no timely follow-up, they ask me for the information several times. It doesn&#39;t matter if you have a good investment rate if on the other hand they have terrible customer follow-up. Disappointed",2024-04-15,Banca Mifel,maps,Querétaro,20,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,April,4.0,Querétaro
"Mi experiencia en la inversión ha sido totalmente satisfactoria, ya que actualmente tienen un 14% de rendimiento anual. La verdad es que me dieron mucha confianza y su proceso fue totalmente en línea. Lo recomiendo ampliamente.","My investment experience has been totally satisfactory, since they currently have a 14% annual return. The truth is that they gave me a lot of confidence and their process was completely online. I highly recommend it.",2024-01-09,Banca Mifel,maps,Querétaro,90,Business Model and Innovation,Environmental,ENVIRONMENTAL CULTURE,SUPPLY CHAIN MANAGEMENT,no,si,Environmental,Business Model and Innovation,POSITIVE,2024.0,January,1.0,Querétaro
"El peor servicio y experiencia que he tenido en mi vida con una institución. Desde el inicio se tuvo que corregir el contrato de apertura por que los datos que el banco puso eran inventados o falsos;Como banco solo se puede depositar pero no retirar, la banca electrónica es imposible de usar, inventan la información aún que la corregí varias veces, me mandaron un cuestionario con respuestas inventadas por ellos por que así  ingresaron los datos la gente de sistemas para poder usar la banca electrónica. Actúan como usureros, con llamadas al vencimiento de los préstamos de 6 a 8 llamadas por cada dos minutos lo cual está penado por la condusef, son irresponsables,abusivos y muy poco serios. Ojalá pongan atención y sean profesionales y mejoren en un futuro. o mejor aún desaparezcan. Este mensaje es una alerta para todos que tienen una necesidad y creen en las fantasías que propone este banco pero solo eso fantasías más no realidades. A mi no me funciono quizá a otros si le llegue a funcionar. Esta institución se defenderá pero solo basta con leer la calificaciones en redes y leer comentarios para darte cuenta de la trampas, y mal servicio que tienen, yo no soy el único. Sin embargo creo que lo mejor es alertar de la manera más objetiva y sin mentiras.","The worst service and experience I have ever had in my life with an institution. From the beginning, the opening contract had to be corrected because the data that the bank provided was invented or false; As a bank you can only deposit but not withdraw, electronic banking is impossible to use, they invent the information even though I corrected it several times. Sometimes, they sent me a questionnaire with answers invented by them because that&#39;s how the systems people entered the data to be able to use electronic banking. They act like usurers, with 6 to 8 calls per two minutes when loans expire, which is punishable by the condusef, they are irresponsible, abusive and very unserious. I hope they pay attention and are professional and improve in the future. or better yet disappear. This message is an alert for everyone who has a need and believes in the fantasies that this bank proposes, but only fantasies, not realities. It didn&#39;t work for me, maybe it will work for others. This institution will defend itself but you only have to read the ratings on networks and read comments to realize the traps and poor service they have, I am not the only one. However, I think it is best to warn in the most objective way and without lies.",2024-04-17,Banca Mifel,maps,Quintana Roo,10,Social Capital,Social External,CUSTOMER MANAGEMENT (VALUE),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEUTRAL,2024.0,April,4.0,Cancún
"With the recent collapse of different trade brokers and platforms many investors might be wondering how to recoup their losses
Kindly reach out to *DOLLERRY JOHN* via Gmail dollerryjohn062@gmail.com or via +1 (640) 444-3709
He's the best Expert Analyst I can recommend you reach out to for Aid
You might be able to get your invested capital pull out to your receiving wallet addresses
NOTE: Reporting a scam experience helps track and stop scammers from growing their unprofessional tradebrokers/platforms this prevents other people from being
Scammed. However, the investigation and tracking of your stolen crypto or money might take a little time, and you need to exercise patience, But the most important thing is that it's still possible to recover your missing,stolen Crypto or money only with the Aid of an expert Analysts *DOLLERRY JOHN* knowledgeable enough to help you remotely access all your missing funds without delay
John is a master forex trader where we learned so much from! He doesn't need to teach us, he just love to share his knowledge exclusively within our academy!","With the recent collapse of different trade brokers and platforms many investors might be wondering how to recover their losses Kindly reach out to *DOLLERRY JOHN* via Gmail dollerryjohn062@gmail.com or via +1 (640) 444-3709 He&#39;s the best Expert Analyst I can recommend you reach out to for Aid You might be able to get your invested capital pull out to your receiving wallet addresses NOTE: Reporting a scam experience helps track and stop scammers from growing their unprofessional tradebrokers/platforms this prevents other people from being Scammed . However, the investigation and tracking of your stolen crypto or money might take a little time, and you need to exercise patience, But the most important thing is that it&#39;s still possible to recover your missing, stolen Crypto or money only with the Aid of an expert Analysts *DOLLERRY JOHN* knowledgeable enough to help you remotely access all your missing funds without delay John is a master forex trader where we learned so much from! He doesn&#39;t need to teach us, he just love to share his knowledge exclusively within our academy!",2024-04-17,Banca Mifel,maps,Quintana Roo,25,Social Capital,Environmental,ENVIRONMENTAL CULTURE,CUSTOMER WELFARE,no,no,Environmental,Social Capital,POSITIVE,2024.0,April,4.0,Cancún
"Tiene la mejor tasa competitiva en el
Mercado financiero de todos los bancos, con un pagaré en plazo fijo, con el respaldo del IPAB, el 14% anual!!! Es momento de invertir y aprovechar los beneficios que banco Covalto nos otorga!!!","It has the best competitive rate in the financial market of all banks, with a fixed-term promissory note, with the support of the IPAB, 14% annually!!! It&#39;s time to invest and take advantage of the benefits that Covalto Bank gives us!!!",2024-04-08,Banco Actinver,maps,Ciudad de México,90,Human Capital,Social Internal,WORK-LIFE BALANCE,LABOR PRACTICES,si,si,Social Internal,Human Capital,NEGATIVE,2024.0,April,4.0,Ciudad de México
"Charlotte's trading strategy is the best I’ve seen and I researched quite a few before making the decision to invest my money in her trading company, her method of trading are outstanding. If you are interested investing in the financial market, this is the place to start up your investment journey with a minimum deposit of $500 I made a remarkable earning of $6800 within One week. 
Contact Mrs Charlotte now for help concerning investments through the details below.
Facebook:https://www.facebook.com/haydencharlotte014
Email:haydencharlotte541@gmail.com 
WhatsApp: +1 (210) 454-2797","Charlotte&#39;s trading strategy is the best I&#39;ve seen and I researched quite a few before making the decision to invest my money in her trading company, her method of trading are outstanding. If you are interested in investing in the financial market, this is the place to start up your investment journey with a minimum deposit of $500 I made a remarkable earning of $6800 within One week. Contact Mrs Charlotte now for help concerning investments through the details below. Facebook:https://www.facebook.com/haydencharlotte014 Email:haydencharlotte541@gmail.com WhatsApp: +1 (210) 454-2797",2023-12-04,Banco Actinver,maps,Ciudad de México,95,Social Capital,Social External,CUSTOMER MANAGEMENT (VALUE),CUSTOMER WELFARE,si,no,Social External,Social Capital,NEUTRAL,2023.0,December,12.0,Ciudad de México
"I want to recommend a trusted and legit trader. I use to
make little profits on trading options account but when i
came in contact with Mrs Patricia Williams, I made $12,000
within a week by trading with her. She is the best in
forex/binary options trade, contact her today and thank
me afterwards.
Email: patriciawilliams1124@gmail.com
Whatsapp: +1 (603) 685-1376","I want to recommend a trusted and legit trader. I used to make little profits on trading options account but when I came in contact with Mrs Patricia Williams, I made $12,000 within a week by trading with her. She is the best in forex/binary options trade, contact her today and thank me afterwards. Email: patriciawilliams1124@gmail.com Whatsapp: +1 (603) 685-1376",2023-12-04,Banco Actinver,maps,Ciudad de México,85,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,CUSTOMER WELFARE,no,no,Environmental,Social Capital,NEGATIVE,2023.0,December,12.0,Ciudad de México
"su personal no está capacitado o debidamente informado que hacen cierto tipo de tramites, deberían de mándalos a cursos","Their staff is not trained or properly informed that they do certain types of procedures, they should send them to courses",2023-12-04,Banco Actinver,maps,Ciudad de México,20,Human Capital,Social Internal,HEALTH (PROTOCOLS),EMPLOYEE HEALTH & SAFETY,no,si,Social Internal,Human Capital,NEGATIVE,2023.0,December,12.0,Ciudad de México
pésima atención de ejecutivos en sucursal y el gerente de calidad cerrado a escuchar la versión del cliente.,Terrible attention from executives in the branch and the quality manager closed to listening to the client&#39;s version.,2023-12-04,Banco Actinver,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2023.0,December,12.0,Ciudad de México
