Review;DS;Bank Name;data_source;Bank ID;Sentiment_gen;Positive_gen;Negative_gen;Neutral_gen;Mixed_gen;MajoritySentiment;Pilar;Sentiment_Value;Predicted_Pilar
"Investment is the best way to generate more income for yourself. Trading and investing with a super platform and a trusted account manager. Mrs. Hendrick Jennifer. I earned a profit of 10% daily and a total of $6,300 after 7days of successful trading and mining for me with a minimum investment of $500 in my wallet, I watch my Profit grow daily until I made my withdrawal successfully myself from my wallet and I converted the bitcoin into cash successfully. and gave back 20% as commission. Thank you very much for your diligent work Hendrick Jennifer I strongly recommend Her to anyone who is interested in trading. Contact her through her: Email: hendrickjennifer550@gmail.com
WhatsApp: +13856454058
https://www.facebook.com/profile.php?id=61550989666096";03/22/2024 13:34:16;M&T Bank;facebook;20;POSITIVE;8,52E+15;2,81E+12;1,47E+15;4,26E+11;POSITIVE;Economico;1;Económico
"I've seen and invest with many online angel investors but I've never seen someone so fast and who have made me huge profits like ""Mathew navas"" before. I was blown out after he made me a profits of $9,000 just within seven days with $1,100 amount of investment. Contact him now via WhatsApp: +1 619 928-5385 / Email address mathewnavas691@gmail.com if you're interested";02/16/2024 01:34:00;M&T Bank;facebook;20;NEUTRAL;2,59E+15;4,63E+14;6,94E+15;2,45E+12;POSITIVE;Economico;1;Económico
"REGINA NATHAN  is a TOP NOTCH investing company! Firstly, her trading skills are outstanding. Sometimes you so many recommendations about traders online and then you give them a try and you don't get the results you wanted, The concierge service is great and there for you whenever you need any help or have any questions in forex trading/Bitcoin! 
I will certainly be booking a few times a month with Regina Nathan - Can't recommend her enough!
Email: nathanregina99@gmail.com                                                             WhatsApp:+15713548374";09/20/2023 19:36:50;M&T Bank;facebook;20;POSITIVE;9,48E+15;7,49E+12;5,13E+14;1,67E+12;POSITIVE;Economico;1;Económico
"Dedicated trading platform they always go extra mile to keep up with good trading results. The tools are of great help to me. I am fully satisfied with all of their services including profit. I never worry about losing my money. I confidently make my investments with Mrs. Melissa Lepore Fx because I get the best advice from the greatest and best forex account manager. Good trading platform responsible to deal with. Really, guys, if I had known earlier that it was possible to make better profits and making fast withdrawal I would have started an investment earlier.
They've been very honest and good to me. I am satisfied with my profit. Sure to recommend them.
Thanks Mrs. Melissa, contact her on DM her via.
WhatsApp:+1 (707) 518-3583
Email:Melissalepore418@gmail.com";07-11-2023 23:46;M&T Bank;facebook;20;POSITIVE;9,90E+15;1,80E+11;9,92E+13;7669813203;POSITIVE;Economico;1;Económico
"I was checking out reviews about Bitcoin Expert traders on Facebook but was scared to invest  into a wrong hand, until I decided to invest with Mrs KRISTINA SCOTT  and she turns out to be the best among all. I invested just $1000 and received a profit of $10,200 after 7 days. You also want to trade with a legit Expert trader? Contact Mrs KRISTINA SCOTT
Email:Kristinascott122@gmail.com
WhatsApp:+1(360)504-6439";07/26/2023 08:35:14;M&T Bank;facebook;20;POSITIVE;5,17E+15;9,82E+12;4,81E+15;1,07E+13;POSITIVE;Economico;1;Económico
"Super amazing platform, easy to use and quick withdrawal. I have been using this platform together with the most recommended Forex strategy on the internet from Mrs Anita Crypto FX. and so far i have no complains, making close to $7000-$15000 on a weekly basis. She is really great, best in her field and unique among others.  i am thankful and want you all to partake from her good works. Contact her via her  
Email: anitacrypto44@gmail.com 
WhatsApp: +15023245963";06/27/2023 00:32:20;M&T Bank;facebook;20;POSITIVE;9,94E+15;33516338590;5,56E+13;6342517736;POSITIVE;Other;1;Económico
"Don't believe in luck, I believe in trust and understanding, I've been with Mrs. Taisha Carson for some years and I've made good amount of money with her simple strategies of trading. Meeting with her has been the best experience that has happened to me in this past few years and I'm expecting yet another payment from the broker today. Scammers are everywhere but to find a reliable trader like Mrs. Taisha Carson, Hash is not an easy task and my advice for you all is to come over and join her contact her directly on her 
Email: taishacarson025@gmail.com
Whatsapp: +1(619)241-4352
Facebook: Taisha Carson";09-10-2023 17:56;M&T Bank;facebook;20;POSITIVE;5,58E+15;1,09E+14;3,13E+15;2,09E+14;POSITIVE;Economico;1;Económico
"People keep talking about your trading strategies, I must say you are one of the best traders ever, I recommend you!! Mrs. Anita Crypto Fx  to every Investor out there. I couldn’t have done it without your expert services. I am very appreciative of your efforts, and I look forward to continuing to work together with Mrs. Anita.
company line!!
WhatsApp +15023245963                                                    
Email: anitacrypto44@gmail.com";06/15/2023 16:37:34;M&T Bank;facebook;20;POSITIVE;9,90E+14;83801001892;1,02E+14;30311950468;POSITIVE;Economico;1;Económico
"I had the best experience working with Mrs. Hailey Madison FX She started managing my trading account with my first deposit of $1000 and made over $10,550 in less than 2 weeks  Thank you for making the process stress free! Highly recommend Mrs. HaileyMadison FX to anyone regarding their account managing needs! she's very hardworking and her professionalism is top-notch and worth sharing, Contact her and you won't be disappointed her service is one of the best and I'm glad to testify about it anywhere, anytime. DM her WhatsApp?+1 (434) 751-0772: or 
Email: HaileyMadison962@gmail.com";06-05-2023 9:50;M&T Bank;facebook;20;POSITIVE;9,75E+15;1,01E+12;2,47E+14;62256862293;POSITIVE;Other;1;Económico
"As a first time investor, I went into it with very little knowledge on the crazy world of Forex trading. MRS. EMILY ALISON worked extra hard to educate me and ensure I felt comfortable and confident through the entire process .investing as little as $2,000 her made a huge profit on my account $17,000 When it came to Withdrawal aspect i did it easy to my bank account , I have to say she knew what I wanted better than I knew myself. she went the extra mile just to clear my doubts. This was such a positive experience all around for me and I wouldn't have been able to do it without her! I will definitely be recommending her to you all? there are no hidden charges. 
WhatsApp number: +1(248) 266-2859
Email : emilyalison691@gmail.com";05/30/2023 12:47:32;M&T Bank;facebook;20;POSITIVE;9,80E+15;1,58E+12;1,81E+13;5,34E+12;POSITIVE;Economico;1;Económico
