Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"I went to the bank and it's closed, leaving for the page that was open.",Banco Falabella,maps,7.0,Santiago,"Vine al banco y está cerrado, saliendo en la pag que estaba abierto",NEGATIVE,0.0096225347369909,0.7995328903198242,0.1878358125686645,0.0030087172053754,10.35404410213232,2023-06-21,Other,5,Other,Banking,Poor,June,6,2023,Other,451,10.35404410213232
It is not open until 18:00.,Banco Falabella,maps,7.0,Lota,No esta abierto hasta las 18:00,NEUTRAL,0.0595975592732429,0.3940538167953491,0.5282098650932312,0.0181387402117252,32.37024918198585,2024-06-14,Other,5,Other,Banking,Poor,June,6,2024,Other,138,32.37024918198585
"Terrible service from the credit card customer service executives, I will not use this bank anymore. I will look for other banks where their employees are better trained and do their job instead of engaging in social activities during their work hours while the bank is full of customers. Banco Falabella has zero empathy for its clients.",Banco Falabella,maps,7.0,Valparaíso,"Pésimo servicio de los ejecutivos de atención de tarjetas ,no vuelvo a meterme más a este banquito, buscaré otros bancos donde sus empleados estén mejor capacitados y hagan su pega y no se dediquen a hacer vida social en su hora de trabajo teniendo el banco lleno de clientes, banco falabella cero empatía con sus clientes..",NEGATIVE,0.0001257402618648,0.9992340803146362,0.0006205515237525,1.9605486158980057e-05,0.04360160237411,2024-06-21,Social Capital,1,Social Internal,Banking,Poor,June,6,2024,Social Internal,451,0.04360160237411
"The attention is very slow and on top of that, not all the executives are friendly.",Banco Falabella,maps,7.0,Santiago,Muy lenta la atención y encima las ejecutivas no son todas amables.,NEGATIVE,0.0027883492875844,0.9697844386100768,0.0208087731152772,0.0066185095347464,1.3192735845223,2023-11-13,Other,5,Other,Banking,Poor,November,11,2023,Other,451,1.3192735845223
"They work until 6pm but they don't accept deposits to current accounts after 2pm, only to checking or savings accounts. What's the difference? What a bad system the bank has, they only care about that and don't want to help.",Banco Falabella,maps,7.0,Santiago,Trabajan hasta las 6pm pero no te aceptan depositos a cuenta corriente despues de las 2pm solamente a cuentas vista o ahorro. Que diferencia hay? Que mal sistema de paso el banco solo y no quieren atender.,NEGATIVE,0.0091275637969374,0.6918818950653076,0.0337428338825702,0.265247642993927,2.59989807382226,2024-04-10,Other,5,Other,Banking,Poor,April,4,2024,Other,451,2.59989807382226
"Horrible in general. 0 information and resolution. If I could give it a 0, I would give it 0. Terrible.",Banco Falabella,maps,7.0,Talca,"Horrible en general. 0 información y resolución. Si pudiera ponerle 0, le pongo 0. Terrible",NEGATIVE,5.563790546148084e-05,0.9997380375862122,0.0001948204881045,1.1490205906738993e-05,0.01530481495137,2024-05-02,Other,5,Other,Banking,Poor,May,5,2024,Other,451,0.01530481495137
"The executives from the Curico branch are ON VACATION! They waste people's time, they don't know how to serve the public, they prefer to spray air freshener rather than assist a single person. HORRIBLE! I decided to close my account at Banco Falabella, they couldn't even give me the plastic card I had requested.",Banco Falabella,maps,7.0,Curicó,"Las ejecutivas de la sucursal Curico están DE VACACIONES!, hacen perder el tiempo a la gente, no saben atender al público, prefieren lanzar aerosol aromatizante que atender a una sola persona. HORRIBLE!
Decidí cerrar mi cuenta en el banco Falabella, ni siquiera pudieron darme el plástico de la tarjeta q había solicitado",NEGATIVE,7.707403710810468e-05,0.9994794726371764,0.0004359927552286,7.469747743016342e-06,0.02950704147224,2023-08-16,Environment,0,Environmental,Banking,Poor,August,8,2023,Environmental,451,0.02950704147224
"Terrible service, they excuse themselves saying they are a digital bank and cannot solve problems. It's a waste of time, they make you do the same thing you can do on your phone.",Banco Falabella,maps,7.0,La Serena,"Pesima atención,  se excusan quevson un banco digital y no pueden solucionar  problemas. Es perdida de tiempo , te hacen hacer lo mismo que puedes hacer por celular.",NEGATIVE,0.000108210282633,0.9996417760849,0.0001990008895518,5.1058941608062014e-05,0.02077107274089,2023-10-23,Environment,0,Environmental,Banking,Poor,October,10,2023,Environmental,451,0.02077107274089
"Terrible service: slow, few employees, and poorly trained. The person who assisted me had no clue and clearly did everything possible to get rid of the problem quickly, without even asking for help from a superior.",Banco Falabella,maps,7.0,Santiago,"Pésima atención: lento, pocos ejecutivos y mal capacitados. Quien me atendió no tenía idea y claramente hizo lo posible por deshacerse del problema rápido, sin siquiera pedir ayuda a algún superior.",NEGATIVE,0.0001454948214814,0.9995604157447816,9.339825192000716e-05,0.0002006258873734,0.01921939474414,2024-03-29,Social Capital,1,Social Internal,Banking,Poor,March,3,2024,Social Internal,451,0.01921939474414
"Bad service. They just want you to leave quickly, making the customer feel like a bother and as if they are doing you a favor. The guard asked me what transaction I was there for, I told him in general terms and he consulted with an accounts executive who always has a stern face. To speed things up, she told me ""check the app"" which is what they were telling all the customers who arrived, including elderly people with little knowledge of technology. I had to ask the guard for permission to get a service number! While another girl was assisting me, the previous employee, with an angry face, told her ""I already helped her."" I needed help with other transactions, but they didn't even listen.",Banco Falabella,maps,7.0,San Antonio,"Mala atención. Solo buscan que te vayas rápido, hacen sentir al cliente una molestia y que te hacen un favor. El guardia me preguntó a que trámite iba, se lo dije de manera general y él le consultó a una ejecutiva de cuentas que siempre tiene cara de dos metros, ella para despacharme rápido le dijo “que lo vea por la aplicación” esto se lo decían a todos los clientes que llegaban, personas mayores con poco conocimiento de tecnologías. Tuve que pedirle permiso al guardia para sacar número de atención! Mientras me atendía otra srta, la anterior trabajadora con cara enojada le dice “ya la atendí”. Necesitaba asistencia para otros trámites, pero ni siquiera escuchan.",NEGATIVE,0.0006839305860921,0.9981051683425904,0.0009890998480841,0.0002217971050413,0.11784805101342,2023-07-28,Human Capital,2,Social Internal,Banking,Poor,July,7,2023,Social Internal,451,0.11784805101342
