Category,Type,Percentage,Company
Very Low,Universe,18.09930592632141,
Very Low,Company,30.354309888947643,Webster Bank
Very Low,Industry,18.09930592632141,
Very Low,Universe,18.09930592632141,
Very Low,Company,10.197368421052632,First Horizon Bank
Very Low,Universe,18.09930592632141,
Very Low,Company,21.087815253722273,Fifth Third Bank
Very Low,Industry,18.09930592632141,
Very Low,Universe,18.09930592632141,
Very Low,Company,19.78798586572438,Dime Bank
Very Low,Industry,18.09930592632141,
Very Low,Universe,18.09930592632141,
Very Low,Company,6.069711538461538,Citizens Bank
Very Low,Industry,18.09930592632141,
Very Low,Industry,18.09930592632141,
Low,Universe,8.960669158213205,
Low,Company,12.797461660497092,Webster Bank
Low,Industry,8.960669158213205,
Low,Universe,8.960669158213205,
Low,Company,7.095864661654136,First Horizon Bank
Low,Industry,8.960669158213205,
Low,Company,9.753874202370099,Fifth Third Bank
Low,Universe,8.960669158213205,
Low,Universe,8.960669158213205,
Low,Company,8.657243816254418,Dime Bank
Low,Industry,8.960669158213205,
Low,Company,5.829326923076923,Citizens Bank
Low,Industry,8.960669158213205,
Low,Universe,8.960669158213205,
Low,Industry,8.960669158213205,
Medium,Universe,30.468054814023848,
Medium,Company,29.719725013220515,Webster Bank
Medium,Industry,30.468054814023848,
Medium,Universe,30.468054814023848,
Medium,Company,25.798872180451127,First Horizon Bank
Medium,Industry,30.468054814023848,
Medium,Company,33.94105135217259,Fifth Third Bank
Medium,Industry,30.468054814023848,
Medium,Universe,30.468054814023848,
Medium,Company,35.5565371024735,Dime Bank
Medium,Industry,30.468054814023848,
Medium,Universe,30.468054814023848,
Medium,Company,23.497596153846153,Citizens Bank
Medium,Industry,30.468054814023848,
Medium,Universe,30.468054814023848,
High,Company,19.090428344791118,Webster Bank
High,Industry,26.25022245951237,
High,Universe,26.25022245951237,
High,Industry,26.25022245951237,
High,Universe,26.25022245951237,
High,Company,25.736858097842603,Fifth Third Bank
High,Industry,26.25022245951237,
High,Company,26.879699248120303,First Horizon Bank
High,Company,26.59010600706714,Dime Bank
High,Industry,26.25022245951237,
High,Universe,26.25022245951237,
High,Company,34.13461538461539,Citizens Bank
High,Industry,26.25022245951237,
High,Universe,26.25022245951237,
High,Universe,26.25022245951237,
Very High,Universe,16.22174764192917,
Very High,Company,30.028195488721803,First Horizon Bank
Very High,Industry,16.22174764192917,
Very High,Universe,16.22174764192917,
Very High,Company,9.480401093892434,Fifth Third Bank
Very High,Industry,16.22174764192917,
Very High,Universe,16.22174764192917,
Very High,Company,9.408127208480565,Dime Bank
Very High,Industry,16.22174764192917,
Very High,Company,30.46875,Citizens Bank
Very High,Industry,16.22174764192917,
Very High,Universe,16.22174764192917,
Very High,Industry,16.22174764192917,
Very High,Universe,16.22174764192917,
Very High,Company,8.038075092543629,Webster Bank
