datetime,author_title,review_text,review_rating,state,place_id
08/23/2021 17:14:40,Fillip Nelson,"I'm am not sure to blame this situation on the bank M&T itself for lack of training, or if this is something that falls on the branch.

I went in the branch on Wednesday, August 19, 2021 to initiate a wire transfer. I went up to the teller and she told me I have to schedule that service.

She told me the person that does the wire transfer is not in at the moment, and she was at that point going to let me walk out the door.

Before leaving, I  turned back around to re-approach the teller and asked, ""ok, well how can I schedule a transfer""? She gave me a sticky note to write down my name and phone number, and said she will try her best to get one scheduled for today.  The tone was very nonchalant to the point that it just made the statement unbelieve or that she could care less.

The wire was needed to close on a home.

After I got home, I waited for about one hour and sided with my intuition that no one was going to call me back and instead went to my other bank Chase on MLK to Initiate a wire which took about 15 minutes.

It is now the 23rd and I have yet to get a call back.

I am so glad I did not chose them as a lender to close on the home. It could have been disastrous.

I think at this point I will pull my funds from M&T bank and transfer to Chase, the customer service, lack of staff, and lack of concern at this branch is alarming. I would suggest the current employees be retrained.",1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
04/21/2017 19:18:04,Kevin Yea,"A terrible place to do banking.  I went into to do a wire and I had to wait more than an hour because the branch is disorganized and they don't even bother checking on you if the wait is long.  The staff isn't adequately trained either.  This is really the responsibility of the bank at large and its regional manager.   It's ran so poorly I'm embarassed to admit that I bank here.  This place needs a real improvement in terms of staffing, training, staff etiquette, etc.",1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
04/27/2017 23:10:07,Racquel “Scrumptuosity” Hill,Used to bank here. Every time you go in the branch there are only two tellers. Even on Fridays! I closed my account with them 4 years ago and they are harassing me with a collection department for $50 only because they know that after 5 years it'll be erased. Good luck!,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
10/02/2017 21:28:18,Leah Rice,I recently started banking with M&T Bank and went in to see if they could cash m check and they didnt... The women was very rude to me and when I reported it to the Branch Manager she was extremely non chalant like she didnt care at all. So Ill be closing my account with them very shortly. do yourself a a favor and do not bank with them.,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
08/07/2022 19:19:18,S C (S C),Very friendly staff. Always has a smile on their face. A great bank to consider banking with.,5,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
05/18/2021 17:48:53,A H,Do not use branch banking manager lies he also is not helpful . I came into the branch to see if I could get help due to me not working due to my disability. Go else where,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
06/07/2021 19:55:45,Deirdra Hughes,"I walked into bank and right up to counter, was very pleased I did not have to wait!!",4,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
03/25/2017 19:42:20,Althea Black,"It has been there for while. In good neighborhood Owen good bus lines, senior facility right across the street",3,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
03/04/2023 17:38:25,D.wood,Never go here .. forreal,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
09/28/2018 19:07:37,Martin Pineda,"Bring some popcorn, you will be here a long time",1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
01/09/2018 19:56:58,SHO Live life,Service is beyond slow,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
08/27/2020 01:59:49,Delores Whitfield,,5,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
10/14/2019 12:49:44,senay habtegabir,,1,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
07/02/2017 15:58:01,Felicia Caldwell,,5,Alabama,ChIJAzju86C5t4kRp_Ufu7D1RXU
12/11/2023 20:21:55,Alexis Miller,Literally the friendliest people I've ever met. I was confused on how to do things and they were able to help me through every step and explained all that I was doing. They were great with conversation and made me feel extremely welcomed. I really want to thank the ladies who helped me today!,5,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
02/11/2020 02:16:12,Alisia W,I’ve banked here since I moved to PA (5 years) and almost always use this branch exclusively. Today I came to withdraw the money to pay my rent and when I got the the counter and said I needed to make a withdrawal the teller looked me dead in my face and said “Can’t you use the ATM?” I was shocked and managed to choke out I need to withdraw over $1000 and she informed me that you can now pull that much out of it. Glad I learned that but I could have done without the attitude! Definitely makes me think about switching banks!,2,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
02/13/2013 23:46:38,David Kelly,"My organization opened an account in 1968. I took over as treasurer in 2011 when our treasurer passed away. I was surprised by the fees they charged for our non-profit account that has maintained several thousand dollars with them for decades. When I inquired about the fees they charged for obtaining old statements (which I needed to balance our books) and to obtain cancelled checks, they recommended I get a web account to avoid those fees. The very first month, there was a fee for having a web account. I told them to stick their web account where it doesnt shione and told them that I did not want to pay any fees. They cancelled the web account and went back to a monthly account fee which made me mad as it was, but when they offered a debit card on the account and I got a recent statement, I found that they charge every time you use your debit card to make a purchase, Could I possibly hate this bank any more??? Is there a rating worse than poor? If you LOVE paying fees for EVERYTHING then you will love this bank.",2,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
03/23/2020 20:08:27,Drew C,The bank tellers are some of the rudest most stuck up people I've ever had to deal with. Lack of people skills. Get it together ladies your to grown to behave like this.,1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
07/15/2019 19:13:12,Barbara Boyd,You must sit at the drive up window way to long.  I have waited 15 min in the middle of the afternoon no one else at the drive up.  When I left I drove around to the other side an only one car so that tells me they were not busy.,1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
08/11/2018 15:24:34,angela spaid,I have been a customer for 30 years even with transitions and name changes with this bank.  They make big issues out of everything and are not customer focused.  Their hours if availability are horrible as well.  Get with the times.  Losing s customer today.,1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
11/09/2021 20:40:37,Jennifer Miller,"Rude, they'll tell you to use the ATM they can't be bothered!",1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
09/09/2022 19:50:31,Werd Man,Visited the bank today and was treated very good,5,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
10/25/2019 19:22:54,Rob Reznikov,"Excellent service at this location, the staff is always very friendly.",5,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
05/25/2023 19:57:23,Nicole Strine,,4,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
04/13/2020 13:50:26,tawanda mazyck,,1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
01/04/2020 16:53:01,Derek Martin,,1,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
08/10/2018 19:07:02,kitkat vlogs,,4,Arkansas,ChIJAaCpYCWMyIkRjkH9LhsNYVI
03/16/2024 16:07:06,deballa21,Went to this location in Bridgeport because we Owen a property there was the worse experience ever we had an appointment with Maria Brito she literally give us bogus information we walked out  that bank very disappointed went to the location in Stamford was a whole different experience. Btw Maria Brito this person is a black person you would expect that someone who looks like you would treat you good not the case I would Advice anyone to not go to this  location I’m gonna file a report to the company I’m the lost person who's gonna get treated this way.,1,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
09/15/2022 18:45:04,Atiya Sample,"On September 7, 2022 I visited the branch inside of the stop and shop located  in Fairfield , Connecticut. Devin, a teller, Had difficulty identifying my account. He proceeded to tell me that I was a beneficiary on a few accounts. He should NOT divulge this type of information. I explain to him what a beneficiary was and despite his claim that he knew , I didn’t believe him. If I am a beneficiary on an account I can’t possibly be the account owner , and therefore it is not my account. 🙃 Upon writing my account number on my withdrawal slip I indicated to him that he used the correct number he replied with a sigh “ that’s all you had to say.”🤔 All I had To do was provide my identification as I did. It’s not my responsibility to help Devin do his job. I made a complaint with Beverly,  a manager. Beverly indicated that she would be off the next day and she will follow up with me - I have yet to receive a return phone call. I will withdraw all of my money and close the account in the very near future.

I refuse to bank with a bank that employs a rude teller that requires my assistance in identifying my account.

If you are aware that you are a beneficiary on someone’s account- DO NOT bank here!",2,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
06/09/2023 22:49:00,Sharaya Smith,"I had to go to the new M&T main branch, downtown Bpt after receiving poor service from calling the general customer service line. The agent over the phone seemed to be knowledgeable about the options available to me for my situation and she made me believe that a new card was on it's way to me. Lo and behold, I never received it. In addition, I later found out that there was no record of any new cards for me for this year even though there should have been 2. I got called up to Liljana's window, immediately when I got in line and she took care of everything, and unlike when I waited over a week previously,  she got my card delivered to me in one day! She also let me customize the card and she provided kind customer service as she has done in the past. A huge weight has been lifted off of my shoulders.",5,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
03/11/2024 17:13:22,Ashley foster,Very rude and unprofessional staff. It takes two seconds to give someone customer service even if you are with someone.,1,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
08/08/2022 23:48:36,Tango Papa Juliet,Beautiful skyscraper in downtown Bridgeport. Interesting façade architecture overseeing I95 & Long Island sound / Bridgeport Harbor area.,5,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
10/30/2023 17:46:16,Ayana Atkinson,"really a terrible place to set up a joint account. Even if your name is on it, they will not allow you to view the balance of the account. Terrible service , terrible banking.",1,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
02/05/2022 22:51:24,JM Berkshire,"They have high fees (and they increased without warning) so I decided to move my business elsewhere. They were somewhat rude and extremely unhelpful when I tried to close my HSA account. Part way through the process they suddenly request a notarized signature even though that wasn't on the paperwork given to me.  So I opened a credit union account and asked the credit union for help. My credit union had trouble with the forms, wrong fax numbers on the forms, etc. My credit union rep told me she certainly understood why I was getting frustrated with People's. Eventually it got done, and  I was out of this nightmare of a bank. But it was probably three weeks. Help yourself out; avoid this bank if you don't like high fees and poor customer service. Oh and my employer used this bank too, but they got frustrated as well and changed banks. So it's not just peons that get treated poorly here. And they'll charge you an high fee to boot.",1,Connecticut,ChIJP7T0KwoO6IkRBnXGOK6CzO8
