Predicted_Pilar;year;month;Bank Name;Sentiment_Score;Positive_gen;Negative_gen;Neutral_gen
Environmental;2013;1;Dime Bank;0.2941;0.1195;9.4760;0.3491
Environmental;2013;2;Citizens Bank;9.9914;9.9843;0.0008;0.0141
Environmental;2013;2;Dime Bank;0.6486;0.1272;8.7840;1.0428
Environmental;2013;11;Fifth Third Bank;9.9925;9.9857;0.0004;0.0136
Environmental;2014;1;Fifth Third Bank;9.9979;9.9964;0.0004;0.0031
Environmental;2014;3;Dime Bank;1.5694;1.3577;6.5579;0.4234
Environmental;2014;6;Fifth Third Bank;0.0189;0.0052;9.9668;0.0275
Environmental;2014;9;M&T Bank;0.0064;0.0038;9.9880;0.0051
Environmental;2014;11;Dime Bank;0.0050;0.0015;9.9911;0.0069
Environmental;2015;2;Fifth Third Bank;9.6657;9.5855;0.1958;0.1604
Environmental;2015;4;Fifth Third Bank;9.9891;9.9859;0.0053;0.0065
Environmental;2015;6;Dime Bank;5.2642;0.8580;0.1636;8.8125
Environmental;2016;2;First Horizon Bank;9.9973;9.9954;0.0002;0.0039
Environmental;2016;3;Fifth Third Bank;0.0752;0.0233;9.8581;0.1037
Environmental;2016;3;First Horizon Bank;0.9928;0.3783;7.7740;1.2289
Environmental;2016;4;Citizens Bank;9.9978;9.9964;0.0007;0.0028
Environmental;2016;5;Citizens Bank;9.9508;9.9045;0.0016;0.0925
Environmental;2016;5;First Horizon Bank;9.6903;9.3847;0.0040;0.6113
Environmental;2016;6;Fifth Third Bank;9.9950;9.9909;0.0007;0.0083
Environmental;2016;7;Citizens Bank;5.2979;5.1337;4.5161;0.3285
Environmental;2016;7;Dime Bank;9.9924;9.9855;0.0007;0.0136
Environmental;2016;8;Citizens Bank;9.9938;9.9880;0.0002;0.0115
Environmental;2016;8;Fifth Third Bank;0.0229;0.0129;9.9586;0.0200
Environmental;2016;10;Fifth Third Bank;0.0273;0.0029;9.9476;0.0488
Environmental;2016;10;Webster Bank;3.6771;3.2559;0.3035;0.8423
Environmental;2016;11;Dime Bank;7.4565;4.9950;0.0715;4.9230
Environmental;2016;12;Dime Bank;9.9861;9.9776;0.0029;0.0170
Environmental;2017;1;Dime Bank;9.9584;9.9186;0.0009;0.0796
Environmental;2017;1;Fifth Third Bank;7.0412;6.8397;1.4644;0.4031
Environmental;2017;3;Citizens Bank;9.9956;9.9918;0.0004;0.0075
Environmental;2017;3;Fifth Third Bank;9.9967;9.9959;0.0011;0.0016
Environmental;2017;3;First Horizon Bank;3.3424;3.3323;6.6458;0.0202
Environmental;2017;3;Webster Bank;1.1565;1.1504;0.0096;0.0122
Environmental;2017;4;Dime Bank;0.0141;0.0128;9.9839;0.0026
Environmental;2017;4;Fifth Third Bank;8.4417;8.3147;0.1435;0.2540
Environmental;2017;4;First Horizon Bank;9.9708;9.9436;0.0009;0.0543
Environmental;2017;5;Citizens Bank;9.7637;9.5419;0.0111;0.4437
Environmental;2017;5;Dime Bank;0.0054;0.0019;9.9903;0.0068
Environmental;2017;5;Fifth Third Bank;3.8561;3.8145;5.5746;0.0832
Environmental;2017;5;First Horizon Bank;0.1187;0.0905;9.8145;0.0563
Environmental;2017;6;Citizens Bank;0.0112;0.0065;9.9819;0.0093
Environmental;2017;6;Fifth Third Bank;0.0034;0.0027;9.9957;0.0014
Environmental;2017;7;Citizens Bank;6.7262;6.7123;3.2204;0.0278
Environmental;2017;7;Dime Bank;3.4679;2.4021;4.4205;2.1315
Environmental;2017;7;Fifth Third Bank;5.0794;5.0740;0.0915;0.0109
Environmental;2017;9;Dime Bank;5.0135;5.0071;3.8697;0.0128
Environmental;2017;9;Fifth Third Bank;0.3496;0.2996;8.8497;0.1001
Environmental;2017;10;First Horizon Bank;0.0072;0.0026;9.9814;0.0092
Environmental;2017;11;Citizens Bank;1.4922;0.1581;5.8454;2.6682
Environmental;2017;11;Fifth Third Bank;0.3062;0.0748;9.4138;0.4628
Environmental;2017;12;Citizens Bank;9.9946;9.9898;0.0002;0.0096
Environmental;2017;12;Dime Bank;4.9951;4.9909;5.0000;0.0084
Environmental;2017;12;Fifth Third Bank;2.2054;1.2433;6.8193;1.9243
Environmental;2018;1;Citizens Bank;5.0175;5.0061;4.9704;0.0227
Environmental;2018;1;Fifth Third Bank;0.0871;0.0639;8.0082;0.0464
Environmental;2018;1;First Horizon Bank;0.0922;0.0624;9.1827;0.0597
Environmental;2018;1;Webster Bank;9.9967;9.9944;0.0008;0.0045
Environmental;2018;2;Citizens Bank;9.9970;9.9948;0.0005;0.0044
Environmental;2018;3;Citizens Bank;0.6696;0.5909;5.8056;0.1573
Environmental;2018;3;Dime Bank;0.0044;0.0033;9.9943;0.0022
Environmental;2018;3;Fifth Third Bank;9.9908;9.9822;0.0004;0.0172
Environmental;2018;3;First Horizon Bank;0.0043;0.0008;9.9920;0.0071
Environmental;2018;4;Fifth Third Bank;2.6300;2.5140;6.5466;0.2319
Environmental;2018;4;First Horizon Bank;0.0344;0.0035;9.9342;0.0617
Environmental;2018;5;Dime Bank;5.0008;4.9868;4.9849;0.0280
Environmental;2018;5;Fifth Third Bank;0.0018;0.0008;9.9970;0.0020
Environmental;2018;6;Citizens Bank;9.3610;8.7274;0.0035;1.2671
Environmental;2018;6;First Horizon Bank;9.9930;9.9871;0.0004;0.0117
Environmental;2018;7;Citizens Bank;9.9982;9.9968;0.0002;0.0027
Environmental;2018;7;Dime Bank;0.0042;0.0010;9.9925;0.0064
Environmental;2018;7;Fifth Third Bank;0.0166;0.0120;9.9785;0.0091
Environmental;2018;8;Citizens Bank;9.9965;9.9935;0.0002;0.0060
Environmental;2018;8;Dime Bank;9.9763;9.9537;0.0006;0.0453
Environmental;2018;8;Fifth Third Bank;0.4484;0.1331;9.2246;0.6305
Environmental;2018;8;First Horizon Bank;0.9712;0.7281;5.0632;0.4861
Environmental;2018;9;Citizens Bank;0.0862;0.0394;9.8640;0.0935
Environmental;2018;9;Dime Bank;0.0557;0.0121;9.8613;0.0871
Environmental;2018;9;Fifth Third Bank;0.0165;0.0116;9.9763;0.0099
Environmental;2018;9;Webster Bank;9.9981;9.9972;0.0003;0.0017
Environmental;2018;10;Dime Bank;2.6399;0.8644;5.5608;3.5510
Environmental;2018;10;Webster Bank;0.2291;0.0017;9.5430;0.4549
Environmental;2018;11;Citizens Bank;7.4979;7.4952;2.4992;0.0054
Environmental;2018;11;Fifth Third Bank;1.7298;1.3739;7.1080;0.7118
Environmental;2018;12;Citizens Bank;9.9939;9.9891;0.0005;0.0096
Environmental;2018;12;Dime Bank;0.0014;0.0009;9.9929;0.0010
Environmental;2018;12;Fifth Third Bank;0.0372;0.0174;9.9406;0.0395
Environmental;2018;12;Webster Bank;0.0149;0.0073;9.9702;0.0152
Environmental;2019;1;Dime Bank;9.9988;9.9981;0.0002;0.0013
Environmental;2019;1;First Horizon Bank;9.9976;9.9959;0.0002;0.0034
Environmental;2019;1;Webster Bank;9.7927;9.7244;0.0087;0.1366
Environmental;2019;2;Citizens Bank;9.9559;9.9142;0.0012;0.0833
Environmental;2019;2;Dime Bank;9.9930;9.9876;0.0008;0.0107
Environmental;2019;2;Fifth Third Bank;0.5434;0.2900;8.2629;0.5067
Environmental;2019;2;First Horizon Bank;3.3377;3.3312;6.6551;0.0130
Environmental;2019;3;Citizens Bank;9.8602;9.8014;0.0495;0.1176
Environmental;2019;3;Dime Bank;3.8997;3.5476;5.4766;0.7043
Environmental;2019;3;Fifth Third Bank;5.0958;5.0454;4.8102;0.1007
Environmental;2019;3;First Horizon Bank;0.2357;0.2318;3.1747;0.0079
Environmental;2019;3;Webster Bank;9.9866;9.9832;0.0007;0.0068
Environmental;2019;4;Citizens Bank;9.9820;9.9655;0.0009;0.0329
Environmental;2019;4;Dime Bank;8.0434;8.0015;1.9093;0.0838
Environmental;2019;4;Fifth Third Bank;6.6561;6.6454;3.3328;0.0214
Environmental;2019;4;First Horizon Bank;0.3330;0.1721;7.3741;0.3218
Environmental;2019;5;Citizens Bank;0.1122;0.0695;9.8421;0.0854
Environmental;2019;5;Dime Bank;9.8200;9.6590;0.0017;0.3220
Environmental;2019;5;Fifth Third Bank;2.4135;2.3505;7.1874;0.1260
Environmental;2019;5;First Horizon Bank;9.9897;9.9805;0.0007;0.0185
Environmental;2019;6;Citizens Bank;9.9954;9.9913;0.0002;0.0082
Environmental;2019;6;Dime Bank;6.6633;6.6599;3.3326;0.0070
Environmental;2019;6;Fifth Third Bank;2.8178;2.7555;7.0213;0.1246
Environmental;2019;6;M&T Bank;9.9496;9.9002;0.0009;0.0986
Environmental;2019;7;Citizens Bank;0.9744;0.1401;7.0971;1.6685
Environmental;2019;7;Fifth Third Bank;0.0018;0.0012;9.9974;0.0012
Environmental;2019;7;Webster Bank;0.4983;0.0225;8.9689;0.9516
Environmental;2019;8;Citizens Bank;4.8760;4.8519;5.0155;0.0481
Environmental;2019;8;Dime Bank;9.4844;8.9974;0.0265;0.9740
Environmental;2019;8;Fifth Third Bank;9.9859;9.9739;0.0006;0.0239
Environmental;2019;8;Webster Bank;2.5712;2.5353;7.3899;0.0720
Environmental;2019;9;Citizens Bank;0.0066;0.0035;9.9902;0.0062
Environmental;2019;9;Dime Bank;8.9691;8.9598;0.7492;0.0187
Environmental;2019;9;Fifth Third Bank;9.9924;9.9880;0.0017;0.0087
Environmental;2019;10;Citizens Bank;4.9839;4.9617;4.9928;0.0445
Environmental;2019;10;Dime Bank;4.9974;4.9846;4.9735;0.0256
Environmental;2019;10;Fifth Third Bank;3.7470;2.4945;4.9974;2.5052
Environmental;2019;10;First Horizon Bank;5.0026;4.9744;4.9678;0.0563
Environmental;2019;11;Citizens Bank;0.0016;0.0009;9.9975;0.0014
Environmental;2019;11;Fifth Third Bank;1.3703;1.2804;7.0922;0.1800
Environmental;2019;11;Webster Bank;0.0127;0.0118;9.9863;0.0018
Environmental;2019;12;Citizens Bank;0.0774;0.0550;9.7890;0.0448
Environmental;2019;12;Dime Bank;6.6385;6.6288;3.3384;0.0194
Environmental;2019;12;Fifth Third Bank;5.2326;5.1616;4.5992;0.1421
Environmental;2020;1;Dime Bank;7.6589;7.6176;2.2505;0.0826
Environmental;2020;1;Fifth Third Bank;6.0653;5.9131;3.7543;0.3044
Environmental;2020;1;First Horizon Bank;0.0054;0.0015;9.9904;0.0078
Environmental;2020;1;Webster Bank;0.1395;0.0685;9.6482;0.1420
Environmental;2020;2;Citizens Bank;9.9913;9.9841;0.0008;0.0144
Environmental;2020;2;Dime Bank;2.5819;2.5797;7.4120;0.0044
Environmental;2020;2;Fifth Third Bank;4.2267;4.2197;5.0109;0.0141
Environmental;2020;2;First Horizon Bank;9.9925;9.9875;0.0020;0.0100
Environmental;2020;2;Webster Bank;0.0097;0.0020;9.9813;0.0155
Environmental;2020;3;Citizens Bank;0.0024;0.0007;9.9958;0.0034
Environmental;2020;3;Dime Bank;6.6799;6.6678;3.3077;0.0244
Environmental;2020;3;Fifth Third Bank;0.0050;0.0025;9.9921;0.0048
Environmental;2020;3;First Horizon Bank;9.0428;9.0103;0.8926;0.0649
Environmental;2020;4;Citizens Bank;9.9846;9.9705;0.0007;0.0283
Environmental;2020;4;Dime Bank;0.2602;0.1821;9.6531;0.1561
Environmental;2020;4;Fifth Third Bank;4.9911;4.9780;4.9929;0.0261
Environmental;2020;4;First Horizon Bank;9.9985;9.9976;0.0002;0.0018
Environmental;2020;5;Dime Bank;3.5559;1.9624;3.0652;3.1869
Environmental;2020;5;Fifth Third Bank;8.2496;8.1503;1.3102;0.1986
Environmental;2020;5;First Horizon Bank;0.0708;0.0130;9.8460;0.1155
Environmental;2020;6;Dime Bank;0.0049;0.0023;9.9870;0.0051
Environmental;2020;6;Fifth Third Bank;0.0713;0.0350;9.8739;0.0725
Environmental;2020;6;Webster Bank;0.0123;0.0107;9.9711;0.0033
Environmental;2020;7;Citizens Bank;0.3188;0.0982;9.1028;0.4411
Environmental;2020;7;Fifth Third Bank;2.6674;2.6350;5.2226;0.0649
Environmental;2020;7;First Horizon Bank;2.7685;2.5555;6.0979;0.4261
Environmental;2020;7;Webster Bank;9.9987;9.9981;0.0002;0.0013
Environmental;2020;8;Citizens Bank;1.1452;0.3469;7.9984;1.5965
Environmental;2020;8;Dime Bank;8.5799;8.2256;0.1781;0.7086
Environmental;2020;8;Fifth Third Bank;0.7562;0.0321;8.4856;1.4482
Environmental;2020;8;Webster Bank;5.3275;1.1909;0.5339;8.2731
Environmental;2020;9;Dime Bank;6.0920;5.3125;3.0319;1.5591
Environmental;2020;9;Fifth Third Bank;2.8013;2.7881;7.0836;0.0263
Environmental;2020;10;Citizens Bank;9.9346;9.8703;0.0008;0.1286
Environmental;2020;10;Dime Bank;2.5011;2.4971;7.4941;0.0081
Environmental;2020;10;Fifth Third Bank;7.7446;6.5594;0.5862;2.3704
Environmental;2020;10;First Horizon Bank;9.9959;9.9924;0.0002;0.0070
Environmental;2020;10;Webster Bank;9.9952;9.9909;0.0002;0.0086
Environmental;2020;11;Citizens Bank;7.9670;6.2542;0.3186;3.4256
Environmental;2020;11;Dime Bank;0.0541;0.0145;9.8007;0.0792
Environmental;2020;11;Fifth Third Bank;3.3586;3.3474;6.5995;0.0223
Environmental;2020;11;Webster Bank;0.4291;0.4275;9.4211;0.0031
Environmental;2020;12;Dime Bank;0.0241;0.0118;9.9582;0.0246
Environmental;2020;12;Fifth Third Bank;9.9665;9.9362;0.0023;0.0607
Environmental;2020;12;First Horizon Bank;9.9553;9.9254;0.0035;0.0600
Environmental;2021;1;Dime Bank;9.9874;9.9773;0.0006;0.0202
Environmental;2021;1;Fifth Third Bank;9.9948;9.9901;0.0002;0.0094
Environmental;2021;1;First Horizon Bank;2.0003;1.9980;7.9918;0.0047
Environmental;2021;2;Citizens Bank;0.0128;0.0032;9.9775;0.0192
Environmental;2021;2;Dime Bank;0.0221;0.0064;9.9494;0.0313
Environmental;2021;2;Fifth Third Bank;9.9934;9.9876;0.0002;0.0116
Environmental;2021;2;Webster Bank;0.0631;0.0162;9.7745;0.0938
Environmental;2021;3;Dime Bank;0.1736;0.1501;9.6854;0.0470
Environmental;2021;3;Fifth Third Bank;6.8093;6.7764;3.1237;0.0659
Environmental;2021;3;Webster Bank;9.9967;9.9941;0.0002;0.0054
Environmental;2021;4;Citizens Bank;9.9832;9.9694;0.0021;0.0276
Environmental;2021;4;Dime Bank;0.0025;0.0012;9.9960;0.0026
Environmental;2021;4;First Horizon Bank;0.0033;0.0026;9.9954;0.0014
Environmental;2021;4;Webster Bank;9.9960;9.9924;0.0003;0.0071
Environmental;2021;5;Citizens Bank;4.9963;4.9890;4.9962;0.0147
Environmental;2021;5;Dime Bank;0.1112;0.0885;5.1971;0.0454
Environmental;2021;5;Fifth Third Bank;2.6953;2.5614;7.1265;0.2678
Environmental;2021;5;First Horizon Bank;9.9727;9.9494;0.0035;0.0466
Environmental;2021;5;Webster Bank;0.3411;0.3221;9.4924;0.0380
Environmental;2021;6;Citizens Bank;9.9634;9.9274;0.0003;0.0719
Environmental;2021;6;Dime Bank;0.0133;0.0080;9.9794;0.0108
Environmental;2021;6;Fifth Third Bank;0.1956;0.1630;9.7523;0.0652
Environmental;2021;6;First Horizon Bank;0.0931;0.0399;9.8528;0.1064
Environmental;2021;7;Citizens Bank;8.0981;7.9555;0.4402;0.2851
Environmental;2021;7;Fifth Third Bank;6.3054;6.2825;3.6283;0.0459
Environmental;2021;7;First Horizon Bank;0.1908;0.1884;2.6164;0.0048
Environmental;2021;7;Webster Bank;0.0447;0.0347;9.9389;0.0200
Environmental;2021;8;Dime Bank;1.7106;1.1731;7.7226;1.0751
Environmental;2021;9;Citizens Bank;2.6659;1.9091;5.6790;1.5137
Environmental;2021;9;Dime Bank;9.7405;9.7359;0.2354;0.0092
Environmental;2021;9;Fifth Third Bank;6.6980;6.6561;3.2595;0.0837
Environmental;2021;9;Webster Bank;0.0237;0.0035;9.9560;0.0403
Environmental;2021;10;Citizens Bank;4.8622;4.8250;5.0957;0.0744
Environmental;2021;10;Dime Bank;0.0020;0.0014;9.9956;0.0011
Environmental;2021;10;Fifth Third Bank;3.3637;3.3466;6.5709;0.0342
Environmental;2021;10;First Horizon Bank;2.6087;1.6161;6.1794;1.9854
Environmental;2021;10;Webster Bank;0.0630;0.0387;9.8958;0.0485
Environmental;2021;11;Dime Bank;9.9928;9.9861;0.0003;0.0134
Environmental;2021;11;First Horizon Bank;0.3105;0.1222;8.0357;0.3766
Environmental;2021;11;Webster Bank;0.3682;0.0277;8.8131;0.6810
Environmental;2021;12;Citizens Bank;9.9949;9.9905;0.0004;0.0087
Environmental;2021;12;Dime Bank;9.9924;9.9857;0.0007;0.0133
Environmental;2021;12;Fifth Third Bank;4.9761;4.9242;4.9646;0.1037
Environmental;2022;1;Dime Bank;9.7608;9.5291;0.0049;0.4634
Environmental;2022;1;First Horizon Bank;7.4018;5.8270;1.0161;3.1496
Environmental;2022;1;Webster Bank;9.9961;9.9927;0.0003;0.0068
Environmental;2022;2;Citizens Bank;9.9858;9.9750;0.0022;0.0216
Environmental;2022;2;Dime Bank;9.9976;9.9960;0.0002;0.0034
Environmental;2022;2;Fifth Third Bank;0.0282;0.0195;9.9467;0.0174
Environmental;2022;3;Citizens Bank;5.0172;5.0017;4.9666;0.0310
Environmental;2022;3;Dime Bank;3.7715;3.6908;4.5173;0.1614
Environmental;2022;3;Fifth Third Bank;9.9972;9.9950;0.0004;0.0045
Environmental;2022;3;Webster Bank;0.0164;0.0136;9.9780;0.0056
Environmental;2022;4;Chelsea Gronto Bank;8.9087;7.9214;0.0986;1.9746
Environmental;2022;4;Citizens Bank;9.9633;9.9407;0.0068;0.0453
Environmental;2022;4;Dime Bank;9.9953;9.9921;0.0014;0.0064
Environmental;2022;4;Fifth Third Bank;7.1302;7.0730;0.1855;0.1143
Environmental;2022;4;First Horizon Bank;7.1384;6.6677;2.3903;0.9413
Environmental;2022;4;Webster Bank;8.6021;8.5102;1.0282;0.1838
Environmental;2022;5;Chelsea Gronto Bank;8.1691;7.9450;0.0236;0.4482
Environmental;2022;5;Dime Bank;0.0048;0.0015;9.9910;0.0065
Environmental;2022;5;Fifth Third Bank;6.6801;6.6606;3.3001;0.0389
Environmental;2022;5;First Horizon Bank;0.1326;0.1166;9.7795;0.0320
Environmental;2022;6;Chelsea Gronto Bank;9.4181;8.8381;0.0012;1.1600
Environmental;2022;6;Citizens Bank;9.9076;9.8304;0.0145;0.1543
Environmental;2022;6;Dime Bank;5.0433;5.0021;4.8818;0.0826
Environmental;2022;6;Fifth Third Bank;1.5245;0.2982;7.2473;2.4526
Environmental;2022;6;First Horizon Bank;0.5066;0.0438;8.8677;0.9256
Environmental;2022;6;Webster Bank;6.7106;6.6824;3.2511;0.0564
Environmental;2022;7;Chelsea Gronto Bank;9.9208;9.8429;0.0007;0.1558
Environmental;2022;7;Citizens Bank;0.0282;0.0026;9.9444;0.0513
Environmental;2022;7;Dime Bank;5.9873;5.6531;3.5473;0.6685
Environmental;2022;7;Fifth Third Bank;0.0049;0.0020;9.9922;0.0057
Environmental;2022;7;First Horizon Bank;7.0868;7.0593;2.7197;0.0550
Environmental;2022;7;Webster Bank;0.2492;0.2148;9.2062;0.0689
Environmental;2022;8;Chelsea Gronto Bank;9.5568;9.4281;0.0098;0.2574
Environmental;2022;8;Citizens Bank;9.9963;9.9935;0.0004;0.0057
Environmental;2022;8;Dime Bank;0.2762;0.1855;9.6273;0.1814
Environmental;2022;8;Fifth Third Bank;2.5731;2.3851;6.6778;0.3759
Environmental;2022;8;First Horizon Bank;9.9838;9.9684;0.0006;0.0308
Environmental;2022;8;Webster Bank;2.3389;2.2876;7.6062;0.1027
Environmental;2022;9;Citizens Bank;6.6610;6.6552;3.3321;0.0116
Environmental;2022;9;Dime Bank;3.5418;3.4133;5.9026;0.2570
Environmental;2022;9;Fifth Third Bank;1.4154;1.3255;8.1548;0.1797
Environmental;2022;9;First Horizon Bank;9.9933;9.9874;0.0004;0.0118
Environmental;2022;9;Webster Bank;9.9981;9.9967;0.0003;0.0027
Environmental;2022;10;Chelsea Gronto Bank;9.4284;8.9072;0.0286;1.0423
Environmental;2022;10;Citizens Bank;7.1996;6.9500;1.7497;0.4992
Environmental;2022;10;Dime Bank;0.0208;0.0075;9.9653;0.0265
Environmental;2022;10;Fifth Third Bank;0.0843;0.0635;6.5655;0.0416
Environmental;2022;10;First Horizon Bank;9.9787;9.9581;0.0006;0.0412
Environmental;2022;11;Chelsea Gronto Bank;9.6466;9.2979;0.0042;0.6974
Environmental;2022;11;Citizens Bank;7.4617;7.2884;0.7694;0.3466
Environmental;2022;11;Dime Bank;9.9950;9.9906;0.0003;0.0089
Environmental;2022;11;Fifth Third Bank;1.3008;0.9900;7.5888;0.6216
Environmental;2022;11;First Horizon Bank;9.9893;9.9794;0.0003;0.0199
Environmental;2022;12;Citizens Bank;9.9954;9.9919;0.0003;0.0072
Environmental;2022;12;Dime Bank;4.9945;4.9893;5.0001;0.0103
Environmental;2022;12;Fifth Third Bank;1.5520;1.4527;8.3476;0.1986
Environmental;2022;12;First Horizon Bank;9.9886;9.9777;0.0003;0.0217
Environmental;2022;12;Webster Bank;0.0276;0.0108;9.6097;0.0336
Environmental;2023;1;Citizens Bank;4.8855;4.5137;2.2130;0.7437
Environmental;2023;1;Dime Bank;0.0976;0.0146;9.8139;0.1660
Environmental;2023;1;Fifth Third Bank;2.8673;2.6934;6.8915;0.3479
Environmental;2023;1;First Horizon Bank;5.2834;4.6346;4.0605;1.2976
Environmental;2023;1;Webster Bank;0.0993;0.0758;9.7982;0.0470
Environmental;2023;2;Citizens Bank;6.1745;5.5826;2.9520;1.1837
Environmental;2023;2;Dime Bank;0.2299;0.1291;9.5737;0.2017
Environmental;2023;2;Fifth Third Bank;4.0253;3.9992;5.9324;0.0522
Environmental;2023;2;First Horizon Bank;9.9877;9.9762;0.0004;0.0231
Environmental;2023;3;Chelsea Gronto Bank;9.7559;9.5248;0.0085;0.4623
Environmental;2023;3;Citizens Bank;0.0326;0.0012;9.9359;0.0628
Environmental;2023;3;Dime Bank;9.9937;9.9882;0.0005;0.0110
Environmental;2023;3;Fifth Third Bank;0.3219;0.2686;8.4316;0.1067
Environmental;2023;3;First Horizon Bank;7.4920;7.4839;2.4995;0.0161
Environmental;2023;3;Webster Bank;9.9905;9.9821;0.0009;0.0168
Environmental;2023;4;Chelsea Gronto Bank;8.8779;7.7582;0.0012;2.2393
Environmental;2023;4;Citizens Bank;9.9938;9.9881;0.0003;0.0114
Environmental;2023;4;Dime Bank;5.3164;5.2295;1.6845;0.1737
Environmental;2023;4;Fifth Third Bank;5.0023;4.9992;4.9943;0.0062
Environmental;2023;4;First Horizon Bank;9.9896;9.9816;0.0012;0.0161
Environmental;2023;4;Webster Bank;9.6099;9.3762;0.0931;0.4672
Environmental;2023;5;Chelsea Gronto Bank;9.5357;9.0833;0.0075;0.9049
Environmental;2023;5;Citizens Bank;4.0301;4.0027;5.9017;0.0548
Environmental;2023;5;Dime Bank;9.7326;9.4688;0.0021;0.5276
Environmental;2023;5;Fifth Third Bank;0.6920;0.2940;8.7009;0.7960
Environmental;2023;5;First Horizon Bank;9.9697;9.9415;0.0009;0.0564
Environmental;2023;6;Chelsea Gronto Bank;9.7307;9.4639;0.0017;0.5336
Environmental;2023;6;Citizens Bank;7.1475;7.0934;1.9952;0.1083
Environmental;2023;6;Fifth Third Bank;3.3858;2.7700;3.6156;1.2315
Environmental;2023;6;First Horizon Bank;9.9918;9.9852;0.0004;0.0131
Environmental;2023;6;Webster Bank;0.1069;0.1019;8.2417;0.0101
Environmental;2023;7;Citizens Bank;6.6569;6.6451;3.3307;0.0234
Environmental;2023;7;Dime Bank;5.7113;5.7048;4.2817;0.0129
Environmental;2023;7;Fifth Third Bank;4.3693;4.3370;4.8953;0.0647
Environmental;2023;7;First Horizon Bank;9.9865;9.9739;0.0005;0.0253
Environmental;2023;8;Chelsea Gronto Bank;9.5045;9.0147;0.0045;0.9798
Environmental;2023;8;Citizens Bank;9.9934;9.9875;0.0003;0.0117
Environmental;2023;8;Dime Bank;3.8520;3.5573;5.8296;0.5895
Environmental;2023;8;Fifth Third Bank;7.0155;6.8701;2.5255;0.2909
Environmental;2023;8;First Horizon Bank;0.4331;0.3067;9.2875;0.2527
Environmental;2023;8;Webster Bank;5.1038;5.1003;4.6760;0.0070
Environmental;2023;9;Chelsea Gronto Bank;9.7345;9.4781;0.0075;0.5127
Environmental;2023;9;Citizens Bank;6.7333;6.7133;0.1458;0.0400
Environmental;2023;9;Dime Bank;5.7296;5.6387;3.1850;0.1820
Environmental;2023;9;Fifth Third Bank;2.5057;2.4966;7.4845;0.0181
Environmental;2023;9;First Horizon Bank;7.8020;7.7806;1.5801;0.0429
Environmental;2023;9;Webster Bank;9.9450;9.9099;0.0145;0.0703
Environmental;2023;10;Chelsea Gronto Bank;9.7682;9.5380;0.0008;0.4604
Environmental;2023;10;Citizens Bank;7.9229;6.1172;0.2338;3.6116
Environmental;2023;10;Dime Bank;9.9969;9.9942;0.0003;0.0053
Environmental;2023;10;Fifth Third Bank;3.8844;3.7204;5.7638;0.3280
Environmental;2023;10;First Horizon Bank;9.9888;9.9785;0.0005;0.0208
Environmental;2023;11;Citizens Bank;5.0353;5.0164;4.9350;0.0380
Environmental;2023;11;Dime Bank;0.1313;0.1124;9.5122;0.0378
Environmental;2023;11;Fifth Third Bank;2.0481;2.0108;7.8925;0.0747
Environmental;2023;11;First Horizon Bank;7.8125;7.6318;1.9815;0.3613
Environmental;2023;12;Citizens Bank;5.2306;5.0316;4.5593;0.3980
Environmental;2023;12;Dime Bank;9.9849;9.9705;0.0003;0.0287
Environmental;2023;12;Fifth Third Bank;3.4523;3.2794;4.8722;0.3456
Environmental;2023;12;First Horizon Bank;8.7777;8.5825;0.9973;0.3904
Environmental;2023;12;Webster Bank;0.1006;0.0792;9.8588;0.0428
Environmental;2024;1;Chelsea Gronto Bank;9.9527;9.9062;0.0006;0.0929
Environmental;2024;1;Citizens Bank;7.5380;7.2379;2.1609;0.6002
Environmental;2024;1;Dime Bank;2.9107;2.8586;7.0342;0.1042
Environmental;2024;1;Fifth Third Bank;2.2851;1.8140;6.9950;0.9422
Environmental;2024;1;First Horizon Bank;6.8372;6.8237;2.0013;0.0270
Environmental;2024;2;Citizens Bank;2.4309;1.4553;5.9489;1.9512
Environmental;2024;2;Dime Bank;9.9924;9.9861;0.0008;0.0127
Environmental;2024;2;Fifth Third Bank;5.1922;5.1575;4.4212;0.0694
Environmental;2024;2;First Horizon Bank;7.1512;7.1352;2.8317;0.0319
Environmental;2024;2;Webster Bank;9.9740;9.9495;0.0004;0.0490
Environmental;2024;3;Citizens Bank;0.0092;0.0065;9.9859;0.0054
Environmental;2024;3;Dime Bank;3.7748;2.5225;4.7939;2.5047
Environmental;2024;3;Fifth Third Bank;2.5405;2.5082;7.3955;0.0646
Environmental;2024;3;First Horizon Bank;8.8845;8.8776;1.1066;0.0138
Environmental;2024;3;M&T Bank;9.9874;9.9769;0.0009;0.0211
Environmental;2024;3;Webster Bank;6.8475;5.6457;1.4578;2.4035
Environmental;2024;4;Citizens Bank;4.7433;2.1689;2.6577;5.1487
Environmental;2024;4;Dime Bank;2.5975;0.5446;5.0939;4.1057
